colour	x	y	clickSelects	fill
#F8766D	0.243669394827024	0.173377976075492	Female.No	#F8766D
#7CAE00	0.696221089159901	0.13155067153275	Male.No	#7CAE00
#7CAE00	0.554050877182321	0.160985333591022	Male.No	#7CAE00
#7CAE00	0.847397439943796	0.368848658336157	Male.No	#7CAE00
#C77CFF	0.902405086227439	0.611071585254236	Male.Yes	#C77CFF
#F8766D	0.111515228382566	0.338180532678962	Female.No	#F8766D
#C77CFF	0.876670171506703	0.775304769504477	Male.Yes	#C77CFF
#7CAE00	0.737723592160778	0.234323466111991	Male.No	#7CAE00
#C77CFF	0.860806995156136	0.836145553145219	Male.Yes	#C77CFF
#C77CFF	0.645102159628137	0.632606461982835	Male.Yes	#C77CFF
#C77CFF	0.559532917951318	0.900737899016928	Male.Yes	#C77CFF
#C77CFF	0.740803686732596	0.734132934192365	Male.Yes	#C77CFF
#7CAE00	0.756335370411927	0.169125263325193	Male.No	#7CAE00
#7CAE00	0.646898931146345	0.191652332517234	Male.No	#7CAE00
#F8766D	0.130776653320275	0.127534785815938	Female.No	#F8766D
#00BFC4	0.387984541498802	0.564345742237161	Female.Yes	#00BFC4
#7CAE00	0.826186295768077	0.321468574841591	Male.No	#7CAE00
#C77CFF	0.575803363865072	0.881909653883089	Male.Yes	#C77CFF
#7CAE00	0.662950552068651	0.284641746854918	Male.No	#7CAE00
#F8766D	0.272558052177456	0.278268676251173	Female.No	#F8766D
#00BFC4	0.304962247440761	0.777400503527712	Female.Yes	#00BFC4
#00BFC4	0.188923370008442	0.741615033031187	Female.Yes	#00BFC4
#F8766D	0.239248539236459	0.450333920730786	Female.No	#F8766D
#7CAE00	0.639472869817506	0.207348728552461	Male.No	#7CAE00
#C77CFF	0.582305726087229	0.686526268805293	Male.Yes	#C77CFF
#7CAE00	0.859586354006421	0.224238658323884	Male.No	#7CAE00
#7CAE00	0.549614785577763	0.221704706464979	Male.No	#7CAE00
#7CAE00	0.642805366946215	0.375136827034029	Male.No	#7CAE00
#C77CFF	0.842587772756815	0.792506125332279	Male.Yes	#C77CFF
#7CAE00	0.86759921959178	0.383996745910157	Male.No	#7CAE00
#F8766D	0.290450825186616	0.25747571546923	Female.No	#F8766D
#C77CFF	0.578398185782134	0.895659600045871	Male.Yes	#C77CFF
#7CAE00	0.572569231587377	0.339298743754625	Male.No	#7CAE00
#F8766D	0.294842636128041	0.339045830409635	Female.No	#F8766D
#7CAE00	0.769922522912649	0.340082665482028	Male.No	#7CAE00
#7CAE00	0.670438767749478	0.305602926168252	Male.No	#7CAE00
#7CAE00	0.672287790782072	0.0998695905066349	Male.No	#7CAE00
#7CAE00	0.834905390543017	0.348909626460888	Male.No	#7CAE00
#C77CFF	0.803322541612116	0.768321751447564	Male.Yes	#C77CFF
#7CAE00	0.812967540865595	0.322701086374846	Male.No	#7CAE00
#00BFC4	0.298349008556794	0.746842460283502	Female.Yes	#00BFC4
#00BFC4	0.282705211165276	0.785674522292208	Female.Yes	#00BFC4
#F8766D	0.103270905685018	0.159189391288568	Female.No	#F8766D
#C77CFF	0.685177970508283	0.685991505076262	Male.Yes	#C77CFF
#C77CFF	0.88692386964844	0.587812787429853	Male.Yes	#C77CFF
#C77CFF	0.852460943839767	0.865049868483435	Male.Yes	#C77CFF
#C77CFF	0.690202314829962	0.620401043106209	Male.Yes	#C77CFF
#7CAE00	0.681383202614432	0.219538738951087	Male.No	#7CAE00
#00BFC4	0.293813943016258	0.649913920682262	Female.Yes	#00BFC4
#00BFC4	0.134955678219822	0.576167323033918	Female.Yes	#00BFC4
#00BFC4	0.326127043925226	0.62336421571672	Female.Yes	#00BFC4
#00BFC4	0.199190903963013	0.867011812007563	Female.Yes	#00BFC4
#F8766D	0.271829682571644	0.425164827822961	Female.No	#F8766D
#C77CFF	0.60617387379435	0.790049043060704	Male.Yes	#C77CFF
#C77CFF	0.784672764722597	0.547523868778212	Male.Yes	#C77CFF
#C77CFF	0.809452810748057	0.780320524576713	Male.Yes	#C77CFF
#7CAE00	0.66057699859481	0.139377569610422	Male.No	#7CAE00
#00BFC4	0.116712656041438	0.67041631991213	Female.Yes	#00BFC4
#7CAE00	0.711073771542446	0.451629630628635	Male.No	#7CAE00
#F8766D	0.115439970130947	0.190581866116686	Female.No	#F8766D
#7CAE00	0.80997373146767	0.426479668610475	Male.No	#7CAE00
#7CAE00	0.606209925375879	0.328105285425078	Male.No	#7CAE00
#F8766D	0.208276148377494	0.253159665587273	Female.No	#F8766D
#F8766D	0.154041939161041	0.229530488733541	Female.No	#F8766D
#7CAE00	0.74709207708524	0.180678395639089	Male.No	#7CAE00
#F8766D	0.40783695097674	0.309833770956505	Female.No	#F8766D
#F8766D	0.322436880235645	0.337234909138219	Female.No	#F8766D
#F8766D	0.253515399992466	0.127965307963843	Female.No	#F8766D
#7CAE00	0.855032936669886	0.139885401437906	Male.No	#7CAE00
#F8766D	0.214987283826552	0.444905260154469	Female.No	#F8766D
#7CAE00	0.672307037409734	0.450365940532224	Male.No	#7CAE00
#7CAE00	0.571988886391575	0.115429559722543	Male.No	#7CAE00
#F8766D	0.215997531163422	0.29987731338902	Female.No	#F8766D
#F8766D	0.273300776681439	0.320836322466758	Female.No	#F8766D
#7CAE00	0.786520856093954	0.352017798969014	Male.No	#7CAE00
#F8766D	0.437921526841819	0.420072228732434	Female.No	#F8766D
#F8766D	0.255825805731795	0.0966621843081983	Female.No	#F8766D
#7CAE00	0.674472068097781	0.157726003111086	Male.No	#7CAE00
#7CAE00	0.599775735288858	0.406903893602165	Male.No	#7CAE00
#F8766D	0.15127327835018	0.107694143344733	Female.No	#F8766D
#F8766D	0.431302791122686	0.366535921242427	Female.No	#F8766D
#F8766D	0.323799490166659	0.262999749403786	Female.No	#F8766D
#F8766D	0.133495974354446	0.398705560968003	Female.No	#F8766D
#F8766D	0.334794296713715	0.332794960757548	Female.No	#F8766D
#F8766D	0.43556042633612	0.111636150882325	Female.No	#F8766D
#F8766D	0.30915670257739	0.0958790247413245	Female.No	#F8766D
#C77CFF	0.566577826541933	0.790731243281202	Male.Yes	#C77CFF
#F8766D	0.205911649729718	0.359888427806171	Female.No	#F8766D
#F8766D	0.235290671614083	0.0923880475827239	Female.No	#F8766D
#7CAE00	0.683466463519091	0.445770484649322	Male.No	#7CAE00
#7CAE00	0.600137024863877	0.319484575482255	Male.No	#7CAE00
#F8766D	0.377130447463556	0.211369468576529	Female.No	#F8766D
#F8766D	0.430339747447182	0.256957502189008	Female.No	#F8766D
#F8766D	0.218618784777143	0.338255032050339	Female.No	#F8766D
#F8766D	0.151610309766097	0.344976558434692	Female.No	#F8766D
#F8766D	0.342076341706243	0.313035482879389	Female.No	#F8766D
#7CAE00	0.905166422440247	0.345979830419475	Male.No	#7CAE00
#7CAE00	0.847315028309822	0.402334916151383	Male.No	#7CAE00
#7CAE00	0.782201496376233	0.422301797788929	Male.No	#7CAE00
#7CAE00	0.695356697860089	0.292523429305716	Male.No	#7CAE00
#7CAE00	0.877292309210382	0.241910793141208	Male.No	#7CAE00
#7CAE00	0.657334758646109	0.129598404534838	Male.No	#7CAE00
#7CAE00	0.710308224724775	0.144323051314462	Male.No	#7CAE00
#F8766D	0.356086553159085	0.404740021987395	Female.No	#F8766D
#7CAE00	0.850467377850278	0.178330587307838	Male.No	#7CAE00
#F8766D	0.415738155218688	0.296551561067727	Female.No	#F8766D
#F8766D	0.322758211584931	0.175598230805587	Female.No	#F8766D
#7CAE00	0.650281771763482	0.175665944730016	Male.No	#7CAE00
#7CAE00	0.681321074762805	0.217451974580234	Male.No	#7CAE00
#7CAE00	0.735558577474545	0.242179094051773	Male.No	#7CAE00
#F8766D	0.400212518532168	0.0962021051144058	Female.No	#F8766D
#7CAE00	0.568004831587049	0.180894403041086	Male.No	#7CAE00
#00BFC4	0.262548752467741	0.756826184689999	Female.Yes	#00BFC4
#7CAE00	0.552801802839068	0.203518863767385	Male.No	#7CAE00
#7CAE00	0.600810942663388	0.102519900538027	Male.No	#7CAE00
#7CAE00	0.879499242133038	0.385971597649834	Male.No	#7CAE00
#00BFC4	0.195429440418428	0.728253042579374	Female.Yes	#00BFC4
#00BFC4	0.140407604588704	0.555904411626133	Female.Yes	#00BFC4
#C77CFF	0.567716431719336	0.693706573833796	Male.Yes	#C77CFF
#C77CFF	0.812073759141971	0.864662492139773	Male.Yes	#C77CFF
#C77CFF	0.785501803779467	0.801876920190725	Male.Yes	#C77CFF
#C77CFF	0.723349809815938	0.730967180549421	Male.Yes	#C77CFF
#C77CFF	0.606808816167441	0.556858890181915	Male.Yes	#C77CFF
#C77CFF	0.568760657429018	0.761634665710682	Male.Yes	#C77CFF
#C77CFF	0.707777715034106	0.63678377807479	Male.Yes	#C77CFF
#C77CFF	0.655711223201995	0.751915605654093	Male.Yes	#C77CFF
#00BFC4	0.127606479112397	0.563964225775139	Female.Yes	#00BFC4
#C77CFF	0.622839881953868	0.604191693054004	Male.Yes	#C77CFF
#C77CFF	0.675914676775309	0.74445617808537	Male.Yes	#C77CFF
#C77CFF	0.63699314514683	0.887862212109295	Male.Yes	#C77CFF
#C77CFF	0.650276357816024	0.730347916737876	Male.Yes	#C77CFF
#C77CFF	0.898701103658161	0.713124046864157	Male.Yes	#C77CFF
#C77CFF	0.674493770199743	0.729861921969462	Male.Yes	#C77CFF
#7CAE00	0.751604935577647	0.383673826317218	Male.No	#7CAE00
#00BFC4	0.440114216794345	0.737031172791665	Female.Yes	#00BFC4
#C77CFF	0.779099742543291	0.685617428357628	Male.Yes	#C77CFF
#00BFC4	0.361451383510774	0.852913998321376	Female.Yes	#00BFC4
#C77CFF	0.784705122594129	0.767397791147232	Male.Yes	#C77CFF
#C77CFF	0.827250857922164	0.84206260562959	Male.Yes	#C77CFF
#00BFC4	0.246438887139613	0.806061008013785	Female.Yes	#00BFC4
#C77CFF	0.626319873485376	0.586268705146556	Male.Yes	#C77CFF
#C77CFF	0.728811034763401	0.673782856457613	Male.Yes	#C77CFF
#C77CFF	0.740182189440185	0.797670859420164	Male.Yes	#C77CFF
#7CAE00	0.721854551864619	0.208318157375536	Male.No	#7CAE00
#C77CFF	0.852283071557229	0.743965450758961	Male.Yes	#C77CFF
#00BFC4	0.191122463057664	0.883841813457283	Female.Yes	#00BFC4
#00BFC4	0.417225888845595	0.769150118343532	Female.Yes	#00BFC4
#C77CFF	0.764636907895858	0.83950847463513	Male.Yes	#C77CFF
#C77CFF	0.55814350921322	0.707435808313841	Male.Yes	#C77CFF
#00BFC4	0.281457999551838	0.86635032211515	Female.Yes	#00BFC4
#00BFC4	0.449472010135651	0.644684676504271	Female.Yes	#00BFC4
#00BFC4	0.0990173882720145	0.888645756651055	Female.Yes	#00BFC4
#C77CFF	0.874891798350621	0.785973885519938	Male.Yes	#C77CFF
#00BFC4	0.16005591717972	0.800444927659224	Female.Yes	#00BFC4
#C77CFF	0.752634185450998	0.880695193328641	Male.Yes	#C77CFF
#C77CFF	0.619634884155609	0.779214386743578	Male.Yes	#C77CFF
#C77CFF	0.861183750019832	0.702691200104627	Male.Yes	#C77CFF
#00BFC4	0.325875636274842	0.598543208007785	Female.Yes	#00BFC4
#C77CFF	0.781045283614234	0.62829011534764	Male.Yes	#C77CFF
#C77CFF	0.864320115186274	0.73042999334972	Male.Yes	#C77CFF
#7CAE00	0.827499722553925	0.191734182225032	Male.No	#7CAE00
#00BFC4	0.337268137796359	0.617492449046536	Female.Yes	#00BFC4
#00BFC4	0.311271753162146	0.801056845536963	Female.Yes	#00BFC4
#00BFC4	0.252917376092889	0.695439488373019	Female.Yes	#00BFC4
#C77CFF	0.592615668153898	0.850127745673738	Male.Yes	#C77CFF
#C77CFF	0.722347516820512	0.827015047046271	Male.Yes	#C77CFF
#C77CFF	0.900961890901354	0.652320061048324	Male.Yes	#C77CFF
#00BFC4	0.285200068134476	0.815492906269025	Female.Yes	#00BFC4
#C77CFF	0.651815767823295	0.651623994958672	Male.Yes	#C77CFF
#00BFC4	0.120422149839049	0.592710079709915	Female.Yes	#00BFC4
#C77CFF	0.717837035655975	0.726123823191632	Male.Yes	#C77CFF
#F8766D	0.243589257313447	0.340994576246224	Female.No	#F8766D
#C77CFF	0.64659430984069	0.594970374452797	Male.Yes	#C77CFF
#00BFC4	0.201585544696586	0.783355846154419	Female.Yes	#00BFC4
#00BFC4	0.414018951864405	0.760674327950586	Female.Yes	#00BFC4
#7CAE00	0.574574458243495	0.374641869809817	Male.No	#7CAE00
#7CAE00	0.551865614527328	0.113840191286396	Male.No	#7CAE00
#00BFC4	0.333839927461337	0.619773503731597	Female.Yes	#00BFC4
#C77CFF	0.618321692740375	0.799389006823979	Male.Yes	#C77CFF
#C77CFF	0.875834332271056	0.609252195212651	Male.Yes	#C77CFF
#7CAE00	0.650132382373241	0.0994695694270459	Male.No	#7CAE00
#7CAE00	0.898276285437698	0.325690839016302	Male.No	#7CAE00
#C77CFF	0.75356631048701	0.681419794024392	Male.Yes	#C77CFF
#7CAE00	0.840701454742388	0.305607155473395	Male.No	#7CAE00
#C77CFF	0.777930724011226	0.77244996144013	Male.Yes	#C77CFF
#C77CFF	0.784775763919408	0.578533233990046	Male.Yes	#C77CFF
#F8766D	0.395855590531772	0.173816799440167	Female.No	#F8766D
#7CAE00	0.596075941300528	0.320065713741563	Male.No	#7CAE00
#00BFC4	0.309888827021826	0.811339726332914	Female.Yes	#00BFC4
#C77CFF	0.732613752765412	0.547003984620625	Male.Yes	#C77CFF
#7CAE00	0.596490801058032	0.450929431244731	Male.No	#7CAE00
#F8766D	0.313020277429711	0.100462508641861	Female.No	#F8766D
