fill,colour,x,y,density,group,level,piece,PANEL,xmin,xmax,ymin,ymax
#FFFFFF,#FFFFFF,0.727272727272727,0.0454545454545455,1.82025642606558e-11,1,1,1,1,0.712121212121212,0.742424242424243,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.757575757575758,0.0454545454545455,2.2853455514213e-12,1,1,1,1,0.742424242424243,0.772727272727273,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.787878787878788,0.0454545454545455,2.16002870732971e-13,1,1,1,1,0.772727272727273,0.803030303030303,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.818181818181818,0.0454545454545455,2.56091632684084e-14,1,1,1,1,0.803030303030303,0.833333333333333,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.848484848484849,0.0454545454545455,6.79129599766849e-15,1,1,1,1,0.833333333333334,0.863636363636364,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.878787878787879,0.0454545454545455,2.32794519424947e-15,1,1,1,1,0.863636363636364,0.893939393939394,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.909090909090909,0.0454545454545455,7.35254446938347e-16,1,1,1,1,0.893939393939394,0.924242424242424,NA,0.061128526645768
#FFFFFF,#FFFFFF,0.93939393939394,0.0454545454545455,1.90972302949067e-16,1,1,1,1,0.924242424242424,0.954545454545455,NA,0.061128526645768
#2C5D86,#2C5D86,0.0606060606060605,0.0768025078369906,0.000328742736771824,1,1,1,1,0.0454545454545455,0.0757575757575756,0.0611285266457681,0.0924764890282131
#3875A6,#3875A6,0.0909090909090909,0.0768025078369906,0.000467886934628793,1,1,1,1,0.0757575757575758,0.106060606060606,0.0611285266457681,0.0924764890282131
#3A7AAD,#3A7AAD,0.121212121212121,0.0768025078369906,0.000500538666774698,1,1,1,1,0.106060606060606,0.136363636363636,0.0611285266457681,0.0924764890282131
#346C9B,#346C9B,0.151515151515151,0.0768025078369906,0.00042110093681293,1,1,1,1,0.136363636363636,0.166666666666667,0.0611285266457681,0.0924764890282131
#29577E,#29577E,0.181818181818182,0.0768025078369906,0.000294411327526604,1,1,1,1,0.166666666666667,0.196969696969697,0.0611285266457681,0.0924764890282131
#204465,#204465,0.212121212121212,0.0768025078369906,0.000179152381156823,1,1,1,1,0.196969696969697,0.227272727272727,0.0611285266457681,0.0924764890282131
#193854,#193854,0.242424242424242,0.0768025078369906,9.71509079311515e-05,1,1,1,1,0.227272727272727,0.257575757575758,0.0611285266457681,0.0924764890282131
#15304A,#15304A,0.272727272727273,0.0768025078369906,4.74419633777549e-05,1,1,1,1,0.257575757575758,0.287878787878788,0.0611285266457681,0.0924764890282131
#132C45,#132C45,0.303030303030303,0.0768025078369906,2.10219810022611e-05,1,1,1,1,0.287878787878788,0.318181818181818,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.333333333333333,0.0768025078369906,8.57846534535638e-06,1,1,1,1,0.318181818181818,0.348484848484848,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.363636363636364,0.0768025078369906,3.41744114492232e-06,1,1,1,1,0.348484848484849,0.378787878787879,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.393939393939394,0.0768025078369906,1.4381823002167e-06,1,1,1,1,0.378787878787879,0.409090909090909,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.424242424242424,0.0768025078369906,6.19005866820533e-07,1,1,1,1,0.409090909090909,0.439393939393939,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.454545454545455,0.0768025078369906,2.49003504327647e-07,1,1,1,1,0.43939393939394,0.46969696969697,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.484848484848485,0.0768025078369906,9.81688863642276e-08,1,1,1,1,0.46969696969697,0.5,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.515151515151515,0.0768025078369906,4.66064076518853e-08,1,1,1,1,0.5,0.53030303030303,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.545454545454546,0.0768025078369906,3.19688017079662e-08,1,1,1,1,0.53030303030303,0.560606060606061,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.575757575757576,0.0768025078369906,2.75294532715761e-08,1,1,1,1,0.560606060606061,0.590909090909091,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.606060606060606,0.0768025078369906,2.11024328887767e-08,1,1,1,1,0.590909090909091,0.621212121212121,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.636363636363637,0.0768025078369906,1.19025507806963e-08,1,1,1,1,0.621212121212121,0.651515151515152,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.666666666666667,0.0768025078369906,4.6582301570433e-09,1,1,1,1,0.651515151515152,0.681818181818182,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.696969696969697,0.0768025078369906,1.24704678468468e-09,1,1,1,1,0.681818181818182,0.712121212121212,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.727272727272727,0.0768025078369906,2.29054581450907e-10,1,1,1,1,0.712121212121212,0.742424242424243,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.757575757575758,0.0768025078369906,3.05711200952368e-11,1,1,1,1,0.742424242424243,0.772727272727273,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.787878787878788,0.0768025078369906,4.31872688966188e-12,1,1,1,1,0.772727272727273,0.803030303030303,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.818181818181818,0.0768025078369906,1.26778187656421e-12,1,1,1,1,0.803030303030303,0.833333333333333,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.848484848484849,0.0768025078369906,5.26748018534722e-13,1,1,1,1,0.833333333333334,0.863636363636364,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.878787878787879,0.0768025078369906,2.07034002635046e-13,1,1,1,1,0.863636363636364,0.893939393939394,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.909090909090909,0.0768025078369906,7.06908951586635e-14,1,1,1,1,0.893939393939394,0.924242424242424,0.0611285266457681,0.0924764890282131
#FFFFFF,#FFFFFF,0.93939393939394,0.0768025078369906,1.91519929596265e-14,1,1,1,1,0.924242424242424,0.954545454545455,0.0611285266457681,0.0924764890282131
#275379,#275379,0.0606060606060605,0.108150470219436,0.000270040540336959,1,1,1,1,0.0454545454545455,0.0757575757575756,0.0924764890282132,0.123824451410658
#326A97,#326A97,0.0909090909090909,0.108150470219436,0.000404537063940697,1,1,1,1,0.0757575757575758,0.106060606060606,0.0924764890282132,0.123824451410658
#3875A6,#3875A6,0.121212121212121,0.108150470219436,0.000469592171007303,1,1,1,1,0.106060606060606,0.136363636363636,0.0924764890282132,0.123824451410658
#3671A1,#3671A1,0.151515151515151,0.108150470219436,0.000446632818071685,1,1,1,1,0.136363636363636,0.166666666666667,0.0924764890282132,0.123824451410658
#2F638E,#2F638E,0.181818181818182,0.108150470219436,0.000366081897133094,1,1,1,1,0.166666666666667,0.196969696969697,0.0924764890282132,0.123824451410658
#275278,#275278,0.212121212121212,0.108150470219436,0.00026543333387047,1,1,1,1,0.196969696969697,0.227272727272727,0.0924764890282132,0.123824451410658
#1F4364,#1F4364,0.242424242424242,0.108150470219436,0.000172098953263221,1,1,1,1,0.227272727272727,0.257575757575758,0.0924764890282132,0.123824451410658
#193855,#193855,0.272727272727273,0.108150470219436,0.000100732383567429,1,1,1,1,0.257575757575758,0.287878787878788,0.0924764890282132,0.123824451410658
#16314B,#16314B,0.303030303030303,0.108150470219436,5.32224604866307e-05,1,1,1,1,0.287878787878788,0.318181818181818,0.0924764890282132,0.123824451410658
#142D46,#142D46,0.333333333333333,0.108150470219436,2.54396573442966e-05,1,1,1,1,0.318181818181818,0.348484848484848,0.0924764890282132,0.123824451410658
#132B43,#132B43,0.363636363636364,0.108150470219436,1.14826357823161e-05,1,1,1,1,0.348484848484849,0.378787878787879,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.393939393939394,0.108150470219436,5.18263208672509e-06,1,1,1,1,0.378787878787879,0.409090909090909,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.424242424242424,0.108150470219436,2.32485036272511e-06,1,1,1,1,0.409090909090909,0.439393939393939,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.454545454545455,0.108150470219436,1.02572700469586e-06,1,1,1,1,0.43939393939394,0.46969696969697,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.484848484848485,0.108150470219436,4.85273626591099e-07,1,1,1,1,0.46969696969697,0.5,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.515151515151515,0.108150470219436,2.78129905533601e-07,1,1,1,1,0.5,0.53030303030303,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.545454545454546,0.108150470219436,2.11276989471307e-07,1,1,1,1,0.53030303030303,0.560606060606061,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.575757575757576,0.108150470219436,1.87828364301723e-07,1,1,1,1,0.560606060606061,0.590909090909091,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.606060606060606,0.108150470219436,1.4500888922877e-07,1,1,1,1,0.590909090909091,0.621212121212121,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.636363636363637,0.108150470219436,8.19080794413775e-08,1,1,1,1,0.621212121212121,0.651515151515152,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.666666666666667,0.108150470219436,3.20792559584659e-08,1,1,1,1,0.651515151515152,0.681818181818182,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.696969696969697,0.108150470219436,8.62708973970495e-09,1,1,1,1,0.681818181818182,0.712121212121212,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.727272727272727,0.108150470219436,1.64906431597147e-09,1,1,1,1,0.712121212121212,0.742424242424243,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.757575757575758,0.108150470219436,2.93264282251336e-10,1,1,1,1,0.742424242424243,0.772727272727273,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.787878787878788,0.108150470219436,9.69374140062661e-11,1,1,1,1,0.772727272727273,0.803030303030303,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.818181818181818,0.108150470219436,4.97748966874027e-11,1,1,1,1,0.803030303030303,0.833333333333333,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.848484848484849,0.108150470219436,2.42668720687892e-11,1,1,1,1,0.833333333333334,0.863636363636364,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.878787878787879,0.108150470219436,1.04832003474545e-11,1,1,1,1,0.863636363636364,0.893939393939394,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.909090909090909,0.108150470219436,3.81551179963692e-12,1,1,1,1,0.893939393939394,0.924242424242424,0.0924764890282132,0.123824451410658
#FFFFFF,#FFFFFF,0.93939393939394,0.108150470219436,1.06764898972624e-12,1,1,1,1,0.924242424242424,0.954545454545455,0.0924764890282132,0.123824451410658
#1C3C5B,#1C3C5B,0.0606060606060605,0.139498432601881,0.000128905441975986,1,1,1,1,0.0454545454545455,0.0757575757575756,0.123824451410658,0.155172413793103
#22496C,#22496C,0.0909090909090909,0.139498432601881,0.000208824497272718,1,1,1,1,0.0757575757575758,0.106060606060606,0.123824451410658,0.155172413793103
#27547A,#27547A,0.121212121212121,0.139498432601881,0.000274209542441315,1,1,1,1,0.106060606060606,0.136363636363636,0.123824451410658,0.155172413793103
#2A5982,#2A5982,0.151515151515151,0.139498432601881,0.00030860664130657,1,1,1,1,0.136363636363636,0.166666666666667,0.123824451410658,0.155172413793103
#2A5981,#2A5981,0.181818181818182,0.139498432601881,0.000306512058641329,1,1,1,1,0.166666666666667,0.196969696969697,0.123824451410658,0.155172413793103
#275379,#275379,0.212121212121212,0.139498432601881,0.000270917939370496,1,1,1,1,0.196969696969697,0.227272727272727,0.123824451410658,0.155172413793103
#234A6D,#234A6D,0.242424242424242,0.139498432601881,0.000215122600558881,1,1,1,1,0.227272727272727,0.257575757575758,0.123824451410658,0.155172413793103
#1E4060,#1E4060,0.272727272727273,0.139498432601881,0.000153658790297142,1,1,1,1,0.257575757575758,0.287878787878788,0.123824451410658,0.155172413793103
#193854,#193854,0.303030303030303,0.139498432601881,9.74360926442467e-05,1,1,1,1,0.287878787878788,0.318181818181818,0.123824451410658,0.155172413793103
#16314C,#16314C,0.333333333333333,0.139498432601881,5.53909273760059e-05,1,1,1,1,0.318181818181818,0.348484848484848,0.123824451410658,0.155172413793103
#142D46,#142D46,0.363636363636364,0.139498432601881,2.97157532833718e-05,1,1,1,1,0.348484848484849,0.378787878787879,0.123824451410658,0.155172413793103
#132B44,#132B44,0.393939393939394,0.139498432601881,1.55662443954265e-05,1,1,1,1,0.378787878787879,0.409090909090909,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.424242424242424,0.139498432601881,7.81282392013003e-06,1,1,1,1,0.409090909090909,0.439393939393939,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.454545454545455,0.139498432601881,3.7821095050213e-06,1,1,1,1,0.43939393939394,0.46969696969697,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.484848484848485,0.139498432601881,1.90804425219724e-06,1,1,1,1,0.46969696969697,0.5,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.515151515151515,0.139498432601881,1.10805269455947e-06,1,1,1,1,0.5,0.53030303030303,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.545454545454546,0.139498432601881,8.25636309875208e-07,1,1,1,1,0.53030303030303,0.560606060606061,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.575757575757576,0.139498432601881,7.21270010729835e-07,1,1,1,1,0.560606060606061,0.590909090909091,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.606060606060606,0.139498432601881,5.52598434136881e-07,1,1,1,1,0.590909090909091,0.621212121212121,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.636363636363637,0.139498432601881,3.11366944933531e-07,1,1,1,1,0.621212121212121,0.651515151515152,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.666666666666667,0.139498432601881,1.22185553532862e-07,1,1,1,1,0.651515151515152,0.681818181818182,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.696969696969697,0.139498432601881,3.37143915296474e-08,1,1,1,1,0.681818181818182,0.712121212121212,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.727272727272727,0.139498432601881,7.87385062603747e-09,1,1,1,1,0.712121212121212,0.742424242424243,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.757575757575758,0.139498432601881,2.97894731532967e-09,1,1,1,1,0.742424242424243,0.772727272727273,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.787878787878788,0.139498432601881,1.92221509445856e-09,1,1,1,1,0.772727272727273,0.803030303030303,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.818181818181818,0.139498432601881,1.19182830592275e-09,1,1,1,1,0.803030303030303,0.833333333333333,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.848484848484849,0.139498432601881,6.40201984213402e-10,1,1,1,1,0.833333333333334,0.863636363636364,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.878787878787879,0.139498432601881,3.00418630146729e-10,1,1,1,1,0.863636363636364,0.893939393939394,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.909090909090909,0.139498432601881,1.15159400032981e-10,1,1,1,1,0.893939393939394,0.924242424242424,0.123824451410658,0.155172413793103
#FFFFFF,#FFFFFF,0.93939393939394,0.139498432601881,3.30127838106697e-11,1,1,1,1,0.924242424242424,0.954545454545455,0.123824451410658,0.155172413793103
#152E48,#152E48,0.0606060606060605,0.170846394984326,3.67634456343987e-05,1,1,1,1,0.0454545454545455,0.0757575757575756,0.155172413793104,0.186520376175549
#17334E,#17334E,0.0909090909090909,0.170846394984326,6.74907967834562e-05,1,1,1,1,0.0757575757575758,0.106060606060606,0.155172413793104,0.186520376175549
#1A3956,#1A3956,0.121212121212121,0.170846394984326,0.000105978184233619,1,1,1,1,0.106060606060606,0.136363636363636,0.155172413793104,0.186520376175549
#1D3F5F,#1D3F5F,0.151515151515151,0.170846394984326,0.000147195647013177,1,1,1,1,0.136363636363636,0.166666666666667,0.155172413793104,0.186520376175549
#204566,#204566,0.181818181818182,0.170846394984326,0.000181850954755061,1,1,1,1,0.166666666666667,0.196969696969697,0.155172413793104,0.186520376175549
#21486A,#21486A,0.212121212121212,0.170846394984326,0.000201071106993396,1,1,1,1,0.196969696969697,0.227272727272727,0.155172413793104,0.186520376175549
#21486A,#21486A,0.242424242424242,0.170846394984326,0.000199335139934575,1,1,1,1,0.227272727272727,0.257575757575758,0.155172413793104,0.186520376175549
#1F4464,#1F4464,0.272727272727273,0.170846394984326,0.000174074741166139,1,1,1,1,0.257575757575758,0.287878787878788,0.155172413793104,0.186520376175549
#1C3D5C,#1C3D5C,0.303030303030303,0.170846394984326,0.000133362445175285,1,1,1,1,0.287878787878788,0.318181818181818,0.155172413793104,0.186520376175549
#193753,#193753,0.333333333333333,0.170846394984326,9.36080612233786e-05,1,1,1,1,0.318181818181818,0.348484848484848,0.155172413793104,0.186520376175549
#17334D,#17334D,0.363636363636364,0.170846394984326,6.31933718671651e-05,1,1,1,1,0.348484848484849,0.378787878787879,0.155172413793104,0.186520376175549
#152F49,#152F49,0.393939393939394,0.170846394984326,4.03835207059229e-05,1,1,1,1,0.378787878787879,0.409090909090909,0.155172413793104,0.186520376175549
#132C45,#132C45,0.424242424242424,0.170846394984326,2.32707117034528e-05,1,1,1,1,0.409090909090909,0.439393939393939,0.155172413793104,0.186520376175549
#132B43,#132B43,0.454545454545455,0.170846394984326,1.20799720427797e-05,1,1,1,1,0.43939393939394,0.46969696969697,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.484848484848485,0.170846394984326,6.01876700569011e-06,1,1,1,1,0.46969696969697,0.5,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.515151515151515,0.170846394984326,3.18269893237178e-06,1,1,1,1,0.5,0.53030303030303,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.545454545454546,0.170846394984326,2.05433746859018e-06,1,1,1,1,0.53030303030303,0.560606060606061,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.575757575757576,0.170846394984326,1.61210530752687e-06,1,1,1,1,0.560606060606061,0.590909090909091,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.606060606060606,0.170846394984326,1.18136938680768e-06,1,1,1,1,0.590909090909091,0.621212121212121,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.636363636363637,0.170846394984326,6.57194791916348e-07,1,1,1,1,0.621212121212121,0.651515151515152,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.666666666666667,0.170846394984326,2.61088312181699e-07,1,1,1,1,0.651515151515152,0.681818181818182,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.696969696969697,0.170846394984326,8.25257313740586e-08,1,1,1,1,0.681818181818182,0.712121212121212,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.727272727272727,0.170846394984326,3.64127450513997e-08,1,1,1,1,0.712121212121212,0.742424242424243,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.757575757575758,0.170846394984326,2.96017310582338e-08,1,1,1,1,0.742424242424243,0.772727272727273,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.787878787878788,0.170846394984326,2.41800160506299e-08,1,1,1,1,0.772727272727273,0.803030303030303,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.818181818181818,0.170846394984326,1.63896815901999e-08,1,1,1,1,0.803030303030303,0.833333333333333,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.848484848484849,0.170846394984326,9.61791946227259e-09,1,1,1,1,0.833333333333334,0.863636363636364,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.878787878787879,0.170846394984326,4.85325324021231e-09,1,1,1,1,0.863636363636364,0.893939393939394,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.909090909090909,0.170846394984326,1.93745001977444e-09,1,1,1,1,0.893939393939394,0.924242424242424,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.93939393939394,0.170846394984326,5.65317266694025e-10,1,1,1,1,0.924242424242424,0.954545454545455,0.155172413793104,0.186520376175549
#FFFFFF,#FFFFFF,0.0606060606060605,0.202194357366771,6.63678386680713e-06,1,1,1,1,0.0454545454545455,0.0757575757575756,0.186520376175549,0.217868338557994
#132B43,#132B43,0.0909090909090909,0.202194357366771,1.47763256745528e-05,1,1,1,1,0.0757575757575758,0.106060606060606,0.186520376175549,0.217868338557994
#142D46,#142D46,0.121212121212121,0.202194357366771,2.92394259013513e-05,1,1,1,1,0.106060606060606,0.136363636363636,0.186520376175549,0.217868338557994
#16314B,#16314B,0.151515151515151,0.202194357366771,5.1584307062031e-05,1,1,1,1,0.136363636363636,0.166666666666667,0.186520376175549,0.217868338557994
#183551,#183551,0.181818181818182,0.202194357366771,8.13106900262314e-05,1,1,1,1,0.166666666666667,0.196969696969697,0.186520376175549,0.217868338557994
#1A3A58,#1A3A58,0.212121212121212,0.202194357366771,0.000114472591489299,1,1,1,1,0.196969696969697,0.227272727272727,0.186520376175549,0.217868338557994
#1D3E5D,#1D3E5D,0.242424242424242,0.202194357366771,0.000140749832370094,1,1,1,1,0.227272727272727,0.257575757575758,0.186520376175549,0.217868338557994
#1D405F,#1D405F,0.272727272727273,0.202194357366771,0.000149168803664831,1,1,1,1,0.257575757575758,0.287878787878788,0.186520376175549,0.217868338557994
#1D3E5D,#1D3E5D,0.303030303030303,0.202194357366771,0.000141690997837997,1,1,1,1,0.287878787878788,0.318181818181818,0.186520376175549,0.217868338557994
#1C3C5B,#1C3C5B,0.333333333333333,0.202194357366771,0.000128254336299214,1,1,1,1,0.318181818181818,0.348484848484848,0.186520376175549,0.217868338557994
#1A3A57,#1A3A57,0.363636363636364,0.202194357366771,0.000110429166164469,1,1,1,1,0.348484848484849,0.378787878787879,0.186520376175549,0.217868338557994
#183652,#183652,0.393939393939394,0.202194357366771,8.47945766579095e-05,1,1,1,1,0.378787878787879,0.409090909090909,0.186520376175549,0.217868338557994
#16314C,#16314C,0.424242424242424,0.202194357366771,5.53078534424732e-05,1,1,1,1,0.409090909090909,0.439393939393939,0.186520376175549,0.217868338557994
#142E47,#142E47,0.454545454545455,0.202194357366771,3.08507816421712e-05,1,1,1,1,0.43939393939394,0.46969696969697,0.186520376175549,0.217868338557994
#132B43,#132B43,0.484848484848485,0.202194357366771,1.55220496674228e-05,1,1,1,1,0.46969696969697,0.5,0.186520376175549,0.217868338557994
#FFFFFF,#FFFFFF,0.515151515151515,0.202194357366771,7.54211244619862e-06,1,1,1,1,0.5,0.53030303030303,0.186520376175549,0.217868338557994
#FFFFFF,#FFFFFF,0.545454545454546,0.202194357366771,3.88895939709747e-06,1,1,1,1,0.53030303030303,0.560606060606061,0.186520376175549,0.217868338557994
#FFFFFF,#FFFFFF,0.575757575757576,0.202194357366771,2.344339365443e-06,1,1,1,1,0.560606060606061,0.590909090909091,0.186520376175549,0.217868338557994
#FFFFFF,#FFFFFF,0.606060606060606,0.202194357366771,1.48245149611901e-06,1,1,1,1,0.590909090909091,0.621212121212121,0.186520376175549,0.217868338557994
#FFFFFF,#FFFFFF,0.636363636363637,0.202194357366771,7.88652511245489e-07,1,1,1,1,0.621212121212121,0.651515151515152,0.186520376175549,0.217868338557994
#FFFFFF,#FFFFFF,0.666666666666667,0.202194357366771,3.37379422566772e-07,1,1,1,1,0.651515151515152,0.681818181818182,0.186520376175549,0.217868338557994
#FFFFFF,#FFFFFF,0.696969696969697,0.202194357366771,1.76715971471953e-07,1,1,1,1,0.681818181818182,0.712121212121212,0.186520376175549,0.217868338557994
#FFFFFF,#FFFFFF,0.727272727272727,0.202194357366771,1.78781496569956e-07,1,1,1,1,0.712121212121212,0.742424242424243,0.186520376175549,0.217868338557994
